block_id,delegator,validator,validator_name,votes,created_at,datetime,day
20258014,hx90899b65c16139ad4983a7a570c17db84c5162c4,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,112.6132,1592462527,2020-06-18 06:42:07,Thu
20223712,hx90899b65c16139ad4983a7a570c17db84c5162c4,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,112.5708,1592393299,2020-06-17 11:28:19,Wed
20193506,hx0239ef03a38ce07d888f32fa78d4ecf8fa34864c,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,377.2332,1592332204,2020-06-16 18:30:04,Tue
20174734,hx90899b65c16139ad4983a7a570c17db84c5162c4,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,112.4343,1592294314,2020-06-16 07:58:34,Tue
20130606,hx90899b65c16139ad4983a7a570c17db84c5162c4,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,112.4204,1592205271,2020-06-15 07:14:31,Mon
20107379,hx0239ef03a38ce07d888f32fa78d4ecf8fa34864c,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,569.0682,1592158395,2020-06-14 18:13:15,Sun
20102588,hx90899b65c16139ad4983a7a570c17db84c5162c4,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,337.6577,1592148707,2020-06-14 15:31:47,Sun
20093322,hxa03fd2cc9e9fe8c25678d29906ce3ac6929c56e0,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,15,1592129998,2020-06-14 10:19:58,Sun
20070160,hx6e458a70427c01c7c6faa67573055bbe997894e5,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,-360.1412,1592083270,2020-06-13 21:21:10,Sat
20026583,hx5e4fe461fee7963a20bb5b206595f6956b4101ba,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,5.6589,1591994959,2020-06-12 20:49:19,Fri
19983456,hxafc648ff78e1a595450f99bc86f736030c748745,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,188.207,1591907941,2020-06-11 20:39:01,Thu
19977965,hx0239ef03a38ce07d888f32fa78d4ecf8fa34864c,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,193.8606,1591896858,2020-06-11 17:34:18,Thu
19972589,hxc5ea88b09f49c5eac1d0bb6e28fcdc75f4961f0f,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,-1000,1591885941,2020-06-11 14:32:21,Thu
19958562,hx90899b65c16139ad4983a7a570c17db84c5162c4,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,112.7908,1591857636,2020-06-11 06:40:36,Thu
19941039,hx218c5dfa94bab14bed0d98ac12046c07aa95a0e3,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,1165.2167,1591822281,2020-06-10 20:51:21,Wed
19934949,hx0239ef03a38ce07d888f32fa78d4ecf8fa34864c,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,193.9746,1591809997,2020-06-10 17:26:37,Wed
