block_id,delegator,validator,validator_name,votes,created_at,datetime,day
20264770,hx19d45bd0d681a556830785f4e7d0122177e940ff,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,24.8276,1592476163,2020-06-18 10:29:23,Thu
20243031,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,126.279,1592432293,2020-06-17 22:18:13,Wed
20170431,hxc1977e22673937ab9ec1c7d48a8d5750f2cde1dc,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,100000,1592285631,2020-06-16 05:33:51,Tue
20132074,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,242.6061,1592208234,2020-06-15 08:03:54,Mon
20121284,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,12160.9374,1592186464,2020-06-15 02:01:04,Mon
20121041,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,791.2395,1592185973,2020-06-15 01:52:53,Mon
20120642,hxcf61f69e5018a44e8cf78d5afda24d40b720a8c1,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-3000,1592185168,2020-06-15 01:39:28,Mon
20119988,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,63.8583,1592183849,2020-06-15 01:17:29,Mon
20090920,hx19d45bd0d681a556830785f4e7d0122177e940ff,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,33.6375,1592125151,2020-06-14 08:59:11,Sun
20077258,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,157.9931,1592097592,2020-06-14 01:19:52,Sun
20048827,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,3221.8498,1592040207,2020-06-13 09:23:27,Sat
20015998,hxc3e52dbd3312484ea3d881c9653ed57e1aa1d366,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,25,1591973599,2020-06-12 14:53:19,Fri
19971058,hxa1bd27fa34b467755b18f25076a30bfe59c35f37,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-801.7388,1591882849,2020-06-11 13:40:49,Thu
19949343,hxa1bd27fa34b467755b18f25076a30bfe59c35f37,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,1603.4776,1591839036,2020-06-11 01:30:36,Thu
19941341,hxc36792778956de0d4c8c1be71a9a048fec24a293,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,62.7858,1591822890,2020-06-10 21:01:30,Wed
19924440,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,134,1591788794,2020-06-10 11:33:14,Wed
19924347,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,9.3192,1591788607,2020-06-10 11:30:07,Wed
19862016,hx19d45bd0d681a556830785f4e7d0122177e940ff,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,61.54,1591662203,2020-06-09 00:23:23,Tue
19859327,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,80,1591656776,2020-06-08 22:52:56,Mon
19850161,hxcf61f69e5018a44e8cf78d5afda24d40b720a8c1,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-2000,1591638229,2020-06-08 17:43:49,Mon
19850146,hxcf61f69e5018a44e8cf78d5afda24d40b720a8c1,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-0.9019,1591638199,2020-06-08 17:43:19,Mon
19772422,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,431.4585,1591480995,2020-06-06 22:03:15,Sat
19772226,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,50,1591480599,2020-06-06 21:56:39,Sat
19770772,hx783a3d6cf55c8b21578a9bf2213deebe5dd6ab9a,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,134.9594,1591477655,2020-06-06 21:07:35,Sat
19712081,hxc7174a2f81f74cb202c87baf61a7a7d51c0b0ea2,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,2.0821,1591358705,2020-06-05 12:05:05,Fri
19620301,hx5aa3fa12e9219e408ce181572b33651585072d85,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,357.8665,1591173044,2020-06-03 08:30:44,Wed
19594148,hx607965b29f36f11d6cf1041b9b08eaf354815b1f,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,84.2574,1591120189,2020-06-02 17:49:49,Tue
19527182,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-2230.2326,1590984821,2020-06-01 04:13:41,Mon
19526097,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-24194.6963,1590982632,2020-06-01 03:37:12,Mon
19524082,hxcf61f69e5018a44e8cf78d5afda24d40b720a8c1,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,5000.9019,1590978568,2020-06-01 02:29:28,Mon
19486726,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,81.8117,1590902639,2020-05-31 05:23:59,Sun
19428515,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,173.4387,1590784797,2020-05-29 20:39:57,Fri
19385781,hx60472f12f3b949c99fd9df9d3a7748d5afafe7c7,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,146.5407,1590698533,2020-05-28 20:42:13,Thu
19371223,hxd61c2997d82ba4145a7b58cdba82b66d7daf58e4,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,147.1156,1590669064,2020-05-28 12:31:04,Thu
19350258,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,60.9825,1590626710,2020-05-28 00:45:10,Thu
19348300,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,87.8803,1590622752,2020-05-27 23:39:12,Wed
19299916,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,88.4467,1590525012,2020-05-26 20:30:12,Tue
19286721,hx7904a34b10b1bcdaa0936c98c566271fe86b8296,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,211.1463,1590498378,2020-05-26 13:06:18,Tue
19276153,hxf8a106160207e09c240c30682ed8e3b2f64804b4,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-379.6412,1590477040,2020-05-26 07:10:40,Tue
19263479,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,40,1590451463,2020-05-26 00:04:23,Tue
19259279,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,88.262,1590442989,2020-05-25 21:43:09,Mon
19217966,hx5c4c2c84b93ef37868ef1ccdb6e9789eaa34ab87,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-2236,1590359503,2020-05-24 22:31:43,Sun
19201945,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,87.7165,1590327152,2020-05-24 13:32:32,Sun
19160947,hxf8a106160207e09c240c30682ed8e3b2f64804b4,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,175.7088,1590244356,2020-05-23 14:32:36,Sat
19159106,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,35,1590240639,2020-05-23 13:30:39,Sat
19159070,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,88.8908,1590240566,2020-05-23 13:29:26,Sat
19117536,hxc7174a2f81f74cb202c87baf61a7a7d51c0b0ea2,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,2.1043,1590156719,2020-05-22 14:11:59,Fri
19115865,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,90.4737,1590153347,2020-05-22 13:15:47,Fri
19107024,hx359d04199f148dcc62ede9ba7a0ef7d433d1961f,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,-858.676,1590135490,2020-05-22 08:18:10,Fri
19086999,hx4b03d97b91bc4d13d271ee97c8571141baca6cd0,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,10,1590095027,2020-05-21 21:03:47,Thu
19072620,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,90.0786,1590065811,2020-05-21 12:56:51,Thu
19071016,hx58505e73300d8d591be2c6669139d436694672e5,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,178.3032,1590062571,2020-05-21 12:02:51,Thu
19030469,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,15,1589980721,2020-05-20 13:18:41,Wed
19030420,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,91.8907,1589980622,2020-05-20 13:17:02,Wed
19021528,hx5c4c2c84b93ef37868ef1ccdb6e9789eaa34ab87,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,2231,1589962675,2020-05-20 08:17:55,Wed
18986316,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,91.4069,1589891618,2020-05-19 12:33:38,Tue
18974640,hxf8a106160207e09c240c30682ed8e3b2f64804b4,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,114.0324,1589867969,2020-05-19 05:59:29,Tue
18969312,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,15,1589857214,2020-05-19 03:00:14,Tue
18943826,hxf1ea3eb337432bddb4e01e0b926c671eff297af9,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,91.4018,1589805773,2020-05-18 12:42:53,Mon
18941848,hx81d4f834b91569b43cde903ec241eb1fce64a171,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,15,1589801780,2020-05-18 11:36:20,Mon
