block_id,delegator,validator,validator_name,votes,created_at,datetime,day
20288677,hx3ac05dcb19ff83efc99aad35e74e4dd459b964e5,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,1.815,1592524417,2020-06-18 23:53:37,Thu
20254669,hx3ac05dcb19ff83efc99aad35e74e4dd459b964e5,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,7.2824,1592455776,2020-06-18 04:49:36,Thu
20224025,hxf83a2ca7772e970ebac2af2fa5aacda748875e72,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,1474.7896,1592393932,2020-06-17 11:38:52,Wed
20215632,hx3b22aed6e8cb96c7a5ee3d8369b19751b85b5ad5,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,-2.0792,1592376927,2020-06-17 06:55:27,Wed
20186644,hx42788c4097af37ec2310b2a83d1213bdd34d7ccc,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,36.0742,1592318355,2020-06-16 14:39:15,Tue
20177581,hx3b22aed6e8cb96c7a5ee3d8369b19751b85b5ad5,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,2.0792,1592300060,2020-06-16 09:34:20,Tue
20131279,hx0c6e670e6ee72b2a596d7d726e3dfd990352a288,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,-274,1592206629,2020-06-15 07:37:09,Mon
20131133,hxe7ff999a0eec0c35ec9b0f84eb263dc0b1756530,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,2.3142,1592206334,2020-06-15 07:32:14,Mon
20085954,hx3ac05dcb19ff83efc99aad35e74e4dd459b964e5,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,3.3988,1592115131,2020-06-14 06:12:11,Sun
20030064,hx9684cb18ea41d62553d94d4fd36ab9bc8c1a731a,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,20,1592002356,2020-06-12 22:52:36,Fri
20000098,hx3ac05dcb19ff83efc99aad35e74e4dd459b964e5,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,415.2539,1591941513,2020-06-12 05:58:33,Fri
19949166,hx3ac05dcb19ff83efc99aad35e74e4dd459b964e5,hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,2.149,1591838679,2020-06-11 01:24:39,Thu
