block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19472907,hx09dea58adcd33f751a8ba9ba3a7375d3eedc4a19,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,5.8786,1590874692,2020-05-30 21:38:12,Sat
19469485,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,217.9956,1590867725,2020-05-30 19:42:05,Sat
19454477,hx2a8c970016b9a9e47aca6bca8bca184eab228e1c,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,112.606,1590837437,2020-05-30 11:17:17,Sat
19426055,hx5f1c7df0b07a40008192d6ed0eb99e63258b94ed,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,2729.2119,1590779833,2020-05-29 19:17:13,Fri
19422221,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,228.5518,1590772097,2020-05-29 17:08:17,Fri
19418700,hx09dea58adcd33f751a8ba9ba3a7375d3eedc4a19,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,197.5065,1590764977,2020-05-29 15:09:37,Fri
19418648,hx09dea58adcd33f751a8ba9ba3a7375d3eedc4a19,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,196.5366,1590764872,2020-05-29 15:07:52,Fri
19418544,hx09dea58adcd33f751a8ba9ba3a7375d3eedc4a19,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,590.9519,1590764662,2020-05-29 15:04:22,Fri
19418268,hx670faf407a32c35b717f2ce1439a0e519e2a7cb7,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,-76.1144,1590764105,2020-05-29 14:55:05,Fri
19380960,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,233.6839,1590688792,2020-05-28 17:59:52,Thu
19379346,hx5f1c7df0b07a40008192d6ed0eb99e63258b94ed,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,4286.8988,1590685497,2020-05-28 17:04:57,Thu
19357526,hxc39cbf85a9e188bf8ef7a1c08aae9a833bc6a170,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,3.1808,1590641419,2020-05-28 04:50:19,Thu
19334965,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,232.5892,1590595802,2020-05-27 16:10:02,Wed
19307878,hx8e923bad5119c8f6f201d9d0cf69eeb0c37c86a0,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,860.1079,1590541073,2020-05-27 00:57:53,Wed
19307822,hx7b0845d7bcae5742f63a056085687d14b96940c1,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,1540.5382,1590540960,2020-05-27 00:56:00,Wed
19291942,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,233.6291,1590508922,2020-05-26 16:02:02,Tue
19264399,hx6171127b4965fc948296ad136e0324233720dec7,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,-222.787,1590453320,2020-05-26 00:35:20,Tue
