block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19418700,hx09dea58adcd33f751a8ba9ba3a7375d3eedc4a19,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,197.3704,1590764977,2020-05-29 15:09:37,Fri
19418648,hx09dea58adcd33f751a8ba9ba3a7375d3eedc4a19,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,785.6415,1590764872,2020-05-29 15:07:52,Fri
19416364,hxce8aad5098a9e6794bab9f8670fd1de7bf0e5d5a,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,104.8467,1590760259,2020-05-29 13:50:59,Fri
19401679,hx4a6b99402baede69dbb633e8d61396fc17bb8a05,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,705.1666,1590730622,2020-05-29 05:37:02,Fri
19392913,hxa28d59a7a33eaee0b563e0746acc0abc1e16c0a0,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,10,1590712930,2020-05-29 00:42:10,Fri
19385781,hx60472f12f3b949c99fd9df9d3a7748d5afafe7c7,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,146.5406,1590698533,2020-05-28 20:42:13,Thu
19379582,hx826eb2ff57188686c2b4639443185d3c535e8aaf,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,10.4246,1590685973,2020-05-28 17:12:53,Thu
19358111,hx414877f3baa492db5ea2d30a8a4b3b1672083e23,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,7367.950351923054379008,1590642600,2020-05-28 05:10:00,Thu
19343887,hx81cc6c98a625053b0d1e472f6bde7f8b84353c45,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,0.244966071067475968,1590613820,2020-05-27 21:10:20,Wed
19329140,hx81cc6c98a625053b0d1e472f6bde7f8b84353c45,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,0.482320601092980736,1590584044,2020-05-27 12:54:04,Wed
19260439,hx09dea58adcd33f751a8ba9ba3a7375d3eedc4a19,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,1501.6197,1590445330,2020-05-25 22:22:10,Mon
19245505,hx3e7e1bccaa248852b224f6135e7a4c0a780214b3,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,686.6763,1590415082,2020-05-25 13:58:02,Mon
19245248,hxa2d00e77254cba47e1f83a36fbf1944c942ae906,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,1250.8619,1590414561,2020-05-25 13:49:21,Mon
19132649,hxf1fa149e837362917403dc971447d715bf3a59ef,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,776,1590187238,2020-05-22 22:40:38,Fri
19085872,hx9d7ea8afed9ffb80618721094f66ac025dde2667,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,1600,1590092748,2020-05-21 20:25:48,Thu
18620182,hxa2d00e77254cba47e1f83a36fbf1944c942ae906,hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,200826.0856,1589152627,2020-05-10 23:17:07,Sun
