block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19145974,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,95.379,1590214128,2020-05-23 06:08:48,Sat
19119389,hx3a5a7b31ed4e39a47c3e610aefe04545f0d31c79,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,300,1590160465,2020-05-22 15:14:25,Fri
19108412,hx5494b47eab025c5326df9e3cd5bf6cb738f502cb,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,430.8956,1590138294,2020-05-22 09:04:54,Fri
19108320,hx9dbec67d6a21c14a2730763a4abd0c80b7ed9a16,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,63.8536,1590138108,2020-05-22 09:01:48,Fri
19087845,hx7259509865c5d8865afdce360fc82bebb0e6ff62,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,-1082.1154,1590096737,2020-05-21 21:32:17,Thu
19083312,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,95.1414,1590087582,2020-05-21 18:59:42,Thu
19083273,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,109.4488,1590087504,2020-05-21 18:58:24,Thu
19072592,hx3a5a7b31ed4e39a47c3e610aefe04545f0d31c79,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,200,1590065754,2020-05-21 12:55:54,Thu
19054159,hxb3aca8ffcefe5b5ded1bed15d545db8f6eca1bae,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,41.3437,1590028542,2020-05-21 02:35:42,Thu
19039797,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,95.1086,1589999551,2020-05-20 18:32:31,Wed
19039761,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,111.403,1589999478,2020-05-20 18:31:18,Wed
18997196,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,94.4611,1589913574,2020-05-19 18:39:34,Tue
18997150,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,111.3247,1589913481,2020-05-19 18:38:01,Tue
18955616,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,111.2521,1589829572,2020-05-18 19:19:32,Mon
18953873,hx8828b98b778fa29ea8e9522bf9488946899a3913,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,178.2133,1589826054,2020-05-18 18:20:54,Mon
18948583,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,94.399,1589815376,2020-05-18 15:22:56,Mon
18909069,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,200.6556,1589735607,2020-05-17 17:13:27,Sun
18909008,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,233.9233,1589735484,2020-05-17 17:11:24,Sun
18858580,hx43a81a4580b04ad52a688f34c3ff388e5d850c2f,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,0.0616,1589633724,2020-05-16 12:55:24,Sat
18856075,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,123.668,1589628665,2020-05-16 11:31:05,Sat
18845698,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.0519,1589607730,2020-05-16 05:42:10,Sat
18805978,hx5494b47eab025c5326df9e3cd5bf6cb738f502cb,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,467.5501,1589527379,2020-05-15 07:22:59,Fri
18805875,hx9dbec67d6a21c14a2730763a4abd0c80b7ed9a16,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,69.287,1589527171,2020-05-15 07:19:31,Fri
18786311,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,105.9958,1589487690,2020-05-14 20:21:30,Thu
18786245,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,123.6018,1589487557,2020-05-14 20:19:17,Thu
18730619,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.1537,1589375340,2020-05-13 13:09:00,Wed
18730576,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,124.5614,1589375253,2020-05-13 13:07:33,Wed
18695838,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.4944,1589305198,2020-05-12 17:39:58,Tue
18695795,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,127.5085,1589305111,2020-05-12 17:38:31,Tue
18646790,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.4507,1589206280,2020-05-11 14:11:20,Mon
18646726,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,130.4539,1589206151,2020-05-11 14:09:11,Mon
18634805,hxbcf8a26944b2096a9760fcfa79c50f5be1fd8456,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,-1365.5946,1589182118,2020-05-11 07:28:38,Mon
18612368,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.412,1589136878,2020-05-10 18:54:38,Sun
18612329,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,131.4044,1589136800,2020-05-10 18:53:20,Sun
18595508,hx43a81a4580b04ad52a688f34c3ff388e5d850c2f,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,0.0619,1589102879,2020-05-10 09:27:59,Sun
18565850,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.3585,1589043065,2020-05-09 16:51:05,Sat
18565810,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,136.336,1589042984,2020-05-09 16:49:44,Sat
18531289,hx605348f93a24e69a373334664870001c16d6ca75,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,4282.3251,1588973352,2020-05-08 21:29:12,Fri
18520266,hxac7038034458360b1a75f78de062df3f00f7bde4,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,8.5909,1588951087,2020-05-08 15:18:07,Fri
18514683,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.5157,1588939831,2020-05-08 12:10:31,Fri
18514654,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,136.2913,1588939772,2020-05-08 12:09:32,Fri
18510189,hx5494b47eab025c5326df9e3cd5bf6cb738f502cb,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,537.2188,1588930761,2020-05-08 09:39:21,Fri
18510106,hx9dbec67d6a21c14a2730763a4abd0c80b7ed9a16,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,79.6117,1588930594,2020-05-08 09:36:34,Fri
18485596,hx605348f93a24e69a373334664870001c16d6ca75,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,-2514.3939,1588881158,2020-05-07 19:52:38,Thu
18477891,hxb584da543a74636f6fef1b77204a80d95d805717,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,77.1886,1588865618,2020-05-07 15:33:38,Thu
18477102,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.6602,1588864025,2020-05-07 15:07:05,Thu
18477070,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,136.2297,1588863960,2020-05-07 15:06:00,Thu
18428180,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.616,1588764404,2020-05-06 11:26:44,Wed
18428128,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,136.1746,1588764299,2020-05-06 11:24:59,Wed
18390593,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.7667,1588688419,2020-05-05 14:20:19,Tue
18390549,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,135.1215,1588688330,2020-05-05 14:18:50,Tue
18376514,hx63b6578bc6cbdfb2985e873a3118a467de157a5d,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,10.4366,1588659676,2020-05-05 06:21:16,Tue
18356839,hxbcf8a26944b2096a9760fcfa79c50f5be1fd8456,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,3.2074,1588619989,2020-05-04 19:19:49,Mon
18353780,hx7259509865c5d8865afdce360fc82bebb0e6ff62,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1082.1154,1588613819,2020-05-04 17:36:59,Mon
18344261,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.7049,1588594579,2020-05-04 12:16:19,Mon
18344228,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,137.0428,1588594512,2020-05-04 12:15:12,Mon
18343287,hxfc17656a7744b004647bf8262d5748c828e37d42,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1669.4554,1588592604,2020-05-04 11:43:24,Mon
18300816,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.6688,1588506927,2020-05-03 11:55:27,Sun
18300779,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,135.9967,1588506852,2020-05-03 11:54:12,Sun
18270644,hx8828b98b778fa29ea8e9522bf9488946899a3913,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,36.5807,1588445898,2020-05-02 18:58:18,Sat
18270202,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,106.8148,1588445007,2020-05-02 18:43:27,Sat
18270170,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,135.9387,1588444942,2020-05-02 18:42:22,Sat
18262189,hx43a81a4580b04ad52a688f34c3ff388e5d850c2f,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,0.0777,1588428848,2020-05-02 14:14:08,Sat
18216558,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,107.3625,1588336719,2020-05-01 12:38:39,Fri
18216500,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,135.9027,1588336601,2020-05-01 12:36:41,Fri
18205426,hxb3aca8ffcefe5b5ded1bed15d545db8f6eca1bae,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,44.3939,1588314264,2020-05-01 06:24:24,Fri
18178474,hxbcf8a26944b2096a9760fcfa79c50f5be1fd8456,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,3.2266,1588259708,2020-04-30 15:15:08,Thu
18176607,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,107.5159,1588255940,2020-04-30 14:12:20,Thu
18176569,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,135.8539,1588255864,2020-04-30 14:11:04,Thu
18164943,hx5494b47eab025c5326df9e3cd5bf6cb738f502cb,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,337.9166,1588232355,2020-04-30 07:39:15,Thu
18164846,hx9dbec67d6a21c14a2730763a4abd0c80b7ed9a16,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,50.0756,1588232159,2020-04-30 07:35:59,Thu
18151414,hx605348f93a24e69a373334664870001c16d6ca75,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,2514.3939,1588205078,2020-04-30 00:04:38,Thu
18130999,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,107.4628,1588163751,2020-04-29 12:35:51,Wed
18130965,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,135.7872,1588163682,2020-04-29 12:34:42,Wed
18084117,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,107.4184,1588068793,2020-04-28 10:13:13,Tue
18084081,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,134.7311,1588068720,2020-04-28 10:12:00,Tue
18054297,hxbcf8a26944b2096a9760fcfa79c50f5be1fd8456,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1359.1606,1588008594,2020-04-27 17:29:54,Mon
18044927,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,107.5616,1587989574,2020-04-27 12:12:54,Mon
18044897,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,135.6679,1587989513,2020-04-27 12:11:53,Mon
17998119,hx431cb18ce03a15e9850188a8e200072a2cc3c549,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,107.5184,1587894813,2020-04-26 09:53:33,Sun
17998047,hx35a5e8565b07923caef79e99c8656bfd299fb8d5,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,139.6144,1587894667,2020-04-26 09:51:07,Sun
