block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19459701,hxe9a0626aacc3f4e4577a904e25763b2c0a2078ec,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-123.9937,1590847983,2020-05-30 14:13:03,Sat
19377660,hx810020a0f157bf501b57f1a074e34480f879afca,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,68.652872719635841024,1590682095,2020-05-28 16:08:15,Thu
19340087,hxc771e7b70f719d7a7961ea36a8c6838921ebdb18,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,25,1590606138,2020-05-27 19:02:18,Wed
19340068,hxc771e7b70f719d7a7961ea36a8c6838921ebdb18,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,25,1590606100,2020-05-27 19:01:40,Wed
19319198,hxa9602c82365690567bc912251a8b3ae259ef3631,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,13.826,1590563915,2020-05-27 07:18:35,Wed
19269570,hxc80e628b100ab8310f6f4cc6bdaced748514481d,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,565.1586,1590463756,2020-05-26 03:29:16,Tue
19255029,hx80d893faea7224ca685bee355ca8d0613a1c2aff,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,210.8946,1590434392,2020-05-25 19:19:52,Mon
19199195,hx2486f2d34d7a803d940afb07787d733425b61187,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,6.9091,1590321600,2020-05-24 12:00:00,Sun
19153881,hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-133.1079,1590230085,2020-05-23 10:34:45,Sat
18957052,hx7614bf5f9584cda17cf739d63b0e2395fc9edb6b,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,42.3386,1589832470,2020-05-18 20:07:50,Mon
18899988,hx37a1fc8d6a63f6dabf4c9dcd5eb0e08aa35b9c26,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,2.3154,1589717274,2020-05-17 12:07:54,Sun
18655323,hxa30a0e0f59956381a02f8010eab27491026c5c33,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-10034.9761,1589223495,2020-05-11 18:58:15,Mon
18567240,hx24a21936394f9051be484cc98df5caa3dbe5a549,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-195.171,1589045866,2020-05-09 17:37:46,Sat
18361574,hx468d1104f229df09a6a0b96220b929704a7c577a,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,217.6948,1588629554,2020-05-04 21:59:14,Mon
18361557,hx468d1104f229df09a6a0b96220b929704a7c577a,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,101.0667,1588629520,2020-05-04 21:58:40,Mon
18268129,hxf485ae4d411f161406b40ff03dc894c4bdae30aa,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-2181.8117,1588440826,2020-05-02 17:33:46,Sat
18207676,hxbe0f52adc85195dbaf041149095f9f8807827dff,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-2000,1588318801,2020-05-01 07:40:01,Fri
17585163,hx5c3b77183ef418efbac1ed3cdf812af22c8194b6,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,1134.5154,1587058626,2020-04-16 17:37:06,Thu
17584913,hx5c3b77183ef418efbac1ed3cdf812af22c8194b6,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,100,1587058122,2020-04-16 17:28:42,Thu
17246224,hx78dc9e93a42471059f11ff9abd3527ea3eea2801,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-23.085,1586374531,2020-04-08 19:35:31,Wed
17193685,hxa9602c82365690567bc912251a8b3ae259ef3631,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,19.0815,1586268075,2020-04-07 14:01:15,Tue
17029665,hxcf094241cb2b58001ca4a14351ef5e073986d4a0,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-561.4986,1585937248,2020-04-03 18:07:28,Fri
16874194,hx3f136aaa6d16cb25e6fe24f1c86f2fc59ece1ef4,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-20.0402,1585623631,2020-03-31 03:00:31,Tue
16086441,hx0f53afc2a904e9ba6c759402e3ebd3a6013ab586,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-508.6084,1584029993,2020-03-12 16:19:53,Thu
15969146,hxa30a0e0f59956381a02f8010eab27491026c5c33,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,133.1956,1583793046,2020-03-09 22:30:46,Mon
15791654,hxfdc2103d67db683f23bea5120667c844f8d1aa4d,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,259.8928,1583434844,2020-03-05 19:00:44,Thu
15791597,hxfdc2103d67db683f23bea5120667c844f8d1aa4d,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,155.9098,1583434729,2020-03-05 18:58:49,Thu
15608177,hxa30a0e0f59956381a02f8010eab27491026c5c33,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,277.0682,1583064460,2020-03-01 12:07:40,Sun
15399941,hxa30a0e0f59956381a02f8010eab27491026c5c33,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,1473.7715,1582644114,2020-02-25 15:21:54,Tue
15386967,hx558b4cd8cd7c25fa25e3109414bb385e3c369660,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-102899.3701,1582617941,2020-02-25 08:05:41,Tue
15386059,hx25c5dace83bceae42c11360a07c9e42a3b5c6122,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,-196892.0794,1582616110,2020-02-25 07:35:10,Tue
15340011,hx24a21936394f9051be484cc98df5caa3dbe5a549,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,128.1888,1582523176,2020-02-24 05:46:16,Mon
15339903,hx24a21936394f9051be484cc98df5caa3dbe5a549,hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,11.7016,1582522958,2020-02-24 05:42:38,Mon
