block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19132614,hxcee43c664f8b09cc067771ff7a076f48d66df697,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,-37.7767,1590187168,2020-05-22 22:39:28,Fri
19120851,hx420390cdbfe8a718726a28a3dc2aa6ce71b27fdc,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,201.3585,1590163417,2020-05-22 16:03:37,Fri
19106731,hxec8ea04207636ed2c4017b0be31c1cbad633f99e,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,10,1590134898,2020-05-22 08:08:18,Fri
19095791,hx5203a1c4db4ce125e32d81205a8bff763ff579f1,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,28.858910410359520802,1590112816,2020-05-22 02:00:16,Fri
19085872,hx9d7ea8afed9ffb80618721094f66ac025dde2667,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,1600,1590092748,2020-05-21 20:25:48,Thu
19065305,hx66084d89c935f05bf87a240396188b31ff8cf33e,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,100,1590051044,2020-05-21 08:50:44,Thu
18942235,hx978fc385b7ad73bcc3de0ef892861b782e59a1e4,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,49999,1589802561,2020-05-18 11:49:21,Mon
18942104,hx00bc1126e7c884da71c3096c8272b41f5367f6fd,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,124799,1589802297,2020-05-18 11:44:57,Mon
18891773,hx239d74a65fbdbd9eba6faee00d0c585e09e5965e,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,-200,1589700694,2020-05-17 07:31:34,Sun
18828344,hxcee43c664f8b09cc067771ff7a076f48d66df697,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,39.6906,1589572524,2020-05-15 19:55:24,Fri
18825306,hx4450cdf8df7990ec5e1832611ae50e8630374cdd,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,17.8763,1589566391,2020-05-15 18:13:11,Fri
18822507,hx2a5cee6831ba69cd4a0c67763d5a5fd210b5354d,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,242.509,1589560743,2020-05-15 16:39:03,Fri
18808789,hxeb9f01233588541f552946c86b4563d3a71b039d,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,40002,1589533050,2020-05-15 08:57:30,Fri
18771226,hxcde7041365d152d85b2aa2d4ea8cca1fcf00cc9c,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,81.174,1589457268,2020-05-14 11:54:28,Thu
18750081,hxac77928643cd4286223dd31a3e1d9a99a314ada3,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,78.7278,1589414606,2020-05-14 00:03:26,Thu
