block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19086999,hx4b03d97b91bc4d13d271ee97c8571141baca6cd0,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,10,1590095027,2020-05-21 21:03:47,Thu
19075713,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,48.2403,1590072179,2020-05-21 14:42:59,Thu
19075651,hxcd1b4985886764d62dd4c67a86c701fa7411d2df,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,48.8951,1590072054,2020-05-21 14:40:54,Thu
19075370,hxe79696489e108bc2a0b2f9253a241815179193e9,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,10.5194,1590071424,2020-05-21 14:30:24,Thu
19063221,hxea432a3ebc5fff2be164a5e67f9d2dbc01a2e19d,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,18.1241,1590046838,2020-05-21 07:40:38,Thu
19049425,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,5.4622,1590018991,2020-05-20 23:56:31,Wed
19041779,hxd1d7d68ae7b63b02f003bd7398248ac73e0189a0,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,300,1590003550,2020-05-20 19:39:10,Wed
19031538,hxe79696489e108bc2a0b2f9253a241815179193e9,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,53.6541,1589982880,2020-05-20 13:54:40,Wed
19031343,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,97.8871,1589982486,2020-05-20 13:48:06,Wed
19031291,hxcd1b4985886764d62dd4c67a86c701fa7411d2df,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,97.2715,1589982381,2020-05-20 13:46:21,Wed
19012636,hxe94f24f0ba9c0edc5b32bf0f0608abe56e8ded0f,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,12.5794,1589944732,2020-05-20 03:18:52,Wed
19007614,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,5.423,1589934597,2020-05-20 00:29:57,Wed
19002120,hx8c7878db8e7cd0b4d98067363f9fbd0ec0a42444,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,-394,1589923511,2020-05-19 21:25:11,Tue
18988562,hxea432a3ebc5fff2be164a5e67f9d2dbc01a2e19d,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,35.9989,1589896150,2020-05-19 13:49:10,Tue
18974233,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,315.2236,1589867145,2020-05-19 05:45:45,Tue
18974179,hxcd1b4985886764d62dd4c67a86c701fa7411d2df,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,315.0769,1589867036,2020-05-19 05:43:56,Tue
18973143,hxe94f24f0ba9c0edc5b32bf0f0608abe56e8ded0f,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,12.5766,1589864944,2020-05-19 05:09:04,Tue
18964385,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,5.4197,1589847273,2020-05-19 00:14:33,Tue
18947267,hx8c7878db8e7cd0b4d98067363f9fbd0ec0a42444,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,394,1589812719,2020-05-18 14:38:39,Mon
18930998,hxe94f24f0ba9c0edc5b32bf0f0608abe56e8ded0f,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,26.7187,1589779866,2020-05-18 05:31:06,Mon
18922788,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,17.6237,1589763296,2020-05-18 00:54:56,Mon
18903415,hxea432a3ebc5fff2be164a5e67f9d2dbc01a2e19d,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,58.443,1589724193,2020-05-17 14:03:13,Sun
18856263,hx66fd9563692fe18664987126d4021cb614c807fa,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,23.5681,1589629044,2020-05-16 11:37:24,Sat
18844552,hxe94f24f0ba9c0edc5b32bf0f0608abe56e8ded0f,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,42.3888,1589605418,2020-05-16 05:03:38,Sat
18826647,hxe79696489e108bc2a0b2f9253a241815179193e9,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,35.2189,1589569100,2020-05-15 18:58:20,Fri
18808338,hxea432a3ebc5fff2be164a5e67f9d2dbc01a2e19d,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,20.1815,1589532141,2020-05-15 08:42:21,Fri
18794980,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,6.088,1589505190,2020-05-15 01:13:10,Fri
18767025,hx6f9e5cd2628d8601b524034a96b78d7d28c46e8d,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,4.1915,1589448790,2020-05-14 09:33:10,Thu
18757892,hxea432a3ebc5fff2be164a5e67f9d2dbc01a2e19d,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,81.0909,1589430367,2020-05-14 04:26:07,Thu
18750407,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,6.0968,1589415263,2020-05-14 00:14:23,Thu
18722489,hxe94f24f0ba9c0edc5b32bf0f0608abe56e8ded0f,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,14.1807,1589358940,2020-05-13 08:35:40,Wed
18709657,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,55.9503,1589333067,2020-05-13 01:24:27,Wed
18709595,hxcd1b4985886764d62dd4c67a86c701fa7411d2df,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,54.6566,1589332942,2020-05-13 01:22:22,Wed
18707659,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,6.1124,1589329040,2020-05-13 00:17:20,Wed
18702908,hxe79696489e108bc2a0b2f9253a241815179193e9,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,47.0979,1589319457,2020-05-12 21:37:37,Tue
18673881,hxe94f24f0ba9c0edc5b32bf0f0608abe56e8ded0f,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,14.1779,1589260937,2020-05-12 05:22:17,Tue
18663407,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,6.1074,1589239815,2020-05-11 23:30:15,Mon
18647544,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,295.2843,1589207800,2020-05-11 14:36:40,Mon
18647479,hxcd1b4985886764d62dd4c67a86c701fa7411d2df,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,273.5701,1589207668,2020-05-11 14:34:28,Mon
18625551,hxe94f24f0ba9c0edc5b32bf0f0608abe56e8ded0f,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,28.3387,1589163459,2020-05-11 02:17:39,Mon
18621643,hx7815257c3ade7a14380796fd0e2e887e98e6cfd7,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,24.4684,1589155576,2020-05-11 00:06:16,Mon
18595988,hxea432a3ebc5fff2be164a5e67f9d2dbc01a2e19d,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,20.2737,1589103848,2020-05-10 09:44:08,Sun
18547322,hxea432a3ebc5fff2be164a5e67f9d2dbc01a2e19d,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,20.2876,1589005700,2020-05-09 06:28:20,Sat
18546378,hxe94f24f0ba9c0edc5b32bf0f0608abe56e8ded0f,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,14.1853,1589003796,2020-05-09 05:56:36,Sat
18519780,hxe79696489e108bc2a0b2f9253a241815179193e9,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,11.7248,1588950106,2020-05-08 15:01:46,Fri
