block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19386769,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,1.2271,1590700527,2020-05-28 21:15:27,Thu
19363941,hxb9630fb2a747e9a9aee783c4ae5c535f5063f9da,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-500,1590654367,2020-05-28 08:26:07,Thu
19254023,hxac60f1f7c0a5a880e04797160910db5a4f7eef8c,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,215,1590432362,2020-05-25 18:46:02,Mon
19191657,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,1.2306,1590306379,2020-05-24 07:46:19,Sun
19134788,hxb9630fb2a747e9a9aee783c4ae5c535f5063f9da,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,500,1590191553,2020-05-22 23:52:33,Fri
19072752,hx172d43a0a2ccba47fd97762c2dd8f9de95949b47,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,0.1,1590066077,2020-05-21 13:01:17,Thu
19021449,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,1.2207,1589962515,2020-05-20 08:15:15,Wed
19002373,hxb4572d32a26cf3ce89cb9ed7f7303d24acea9735,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-328.379,1589924022,2020-05-19 21:33:42,Tue
18678996,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,1.3772,1589271248,2020-05-12 08:14:08,Tue
18563969,hx0ac940d4ec04289681b3d874cfc23ac7b630394c,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,86.9543,1589039274,2020-05-09 15:47:54,Sat
18492983,hx7629c5f335f6affa6f1f9e7ac97bb9336ef51865,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,100,1588896053,2020-05-08 00:00:53,Fri
18440390,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,1.3795,1588789137,2020-05-06 18:18:57,Wed
17871997,hxd8c89e96a11c86e0893621eb8826d1b682bcc2cf,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,0.093948,1587640005,2020-04-23 11:06:45,Thu
17584913,hx5c3b77183ef418efbac1ed3cdf812af22c8194b6,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,100,1587058122,2020-04-16 17:28:42,Thu
17538108,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,7.0549,1586963281,2020-04-15 15:08:01,Wed
17483726,hxf06810a14af261d12b631ae553efa60ec38f1d46,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-614.247,1586853424,2020-04-14 08:37:04,Tue
17088024,hxb4572d32a26cf3ce89cb9ed7f7303d24acea9735,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,328.379,1586054973,2020-04-05 02:49:33,Sun
16693019,hx0ac940d4ec04289681b3d874cfc23ac7b630394c,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,34.5041,1585255939,2020-03-26 20:52:19,Thu
16692978,hx0ac940d4ec04289681b3d874cfc23ac7b630394c,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,96.5095,1585255856,2020-03-26 20:50:56,Thu
16367468,hxb027c59078f71f0d6c06d5becad464d488fd20bb,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-500,1584597982,2020-03-19 06:06:22,Thu
16295627,hx41255c6fd4238b7dfc13c03c90e4febdc3db6ec0,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-704.0435,1584452940,2020-03-17 13:49:00,Tue
16243829,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,4.3965,1584347582,2020-03-16 08:33:02,Mon
16038662,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,2.915,1583933644,2020-03-11 13:34:04,Wed
15625347,hxe45765ecbd94580481155f9d7ecaf93d885272b2,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-98.6358,1583099190,2020-03-01 21:46:30,Sun
15625200,hxe45765ecbd94580481155f9d7ecaf93d885272b2,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,8.3655,1583098893,2020-03-01 21:41:33,Sun
15273911,hxf06810a14af261d12b631ae553efa60ec38f1d46,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,614.247,1582389507,2020-02-22 16:38:27,Sat
15220534,hxf51045108a22114bbf99b7b18b0878e5e260d9ac,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-2377.4932,1582280024,2020-02-21 10:13:44,Fri
15115957,hx76ae815bc48653a597d9621d7da20cb79d54f68d,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-435.5526,1582068857,2020-02-18 23:34:17,Tue
14993911,hx5ee1f93e835a88173312a931f2765081f05c1f61,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-4.8637,1581822378,2020-02-16 03:06:18,Sun
14973014,hxe45765ecbd94580481155f9d7ecaf93d885272b2,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,3.6889,1581780238,2020-02-15 15:23:58,Sat
14673610,hx19366463e7dd92663af1c1ad49952b3f851569b7,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-687.2354,1581176252,2020-02-08 15:37:32,Sat
14672524,hxe45765ecbd94580481155f9d7ecaf93d885272b2,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,3.148,1581174062,2020-02-08 15:01:02,Sat
14630415,hx19366463e7dd92663af1c1ad49952b3f851569b7,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,687.2354,1581089026,2020-02-07 15:23:46,Fri
14534960,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,500,1580896463,2020-02-05 09:54:23,Wed
14493570,hx252f3b35a4efcc693cddbb6d6dea929854d04621,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-11.1172,1580813001,2020-02-04 10:43:21,Tue
14483037,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-500,1580791744,2020-02-04 04:49:04,Tue
14467967,hxff5b744e26344c52494023a710bb4ff423874f9f,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-1000,1580761359,2020-02-03 20:22:39,Mon
14423455,hxff5b744e26344c52494023a710bb4ff423874f9f,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,1000,1580671662,2020-02-02 19:27:42,Sun
14417336,hxfe0874e743929b3069fe588b6831cdaf3de74b8f,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-4662.613567438623604736,1580659338,2020-02-02 16:02:18,Sun
14405232,hxe45765ecbd94580481155f9d7ecaf93d885272b2,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,5.2952,1580634954,2020-02-02 09:15:54,Sun
14316926,hx10b4ce06f8d9d4b389bd0044dbc9883f49797772,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,300,1580456999,2020-01-31 07:49:59,Fri
14294841,hxdb5a49e532f00cb667cc46efd43b9ca654ae4147,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,2.4849,1580412443,2020-01-30 19:27:23,Thu
14046238,hx76ae815bc48653a597d9621d7da20cb79d54f68d,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-226.5835,1579910748,2020-01-25 00:05:48,Sat
14046212,hx76ae815bc48653a597d9621d7da20cb79d54f68d,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,226.5835,1579910696,2020-01-25 00:04:56,Sat
13991441,hxfe0874e743929b3069fe588b6831cdaf3de74b8f,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-95.155149151827656704,1579800190,2020-01-23 17:23:10,Thu
13949890,hxe45765ecbd94580481155f9d7ecaf93d885272b2,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,4.3068,1579716428,2020-01-22 18:07:08,Wed
13920480,hxbe704e57384cbe5d2ce4ce982edb77412c8d726f,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,-2.3748,1579657118,2020-01-22 01:38:38,Wed
13746789,hxbe704e57384cbe5d2ce4ce982edb77412c8d726f,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,2.3748,1579306785,2020-01-18 00:19:45,Sat
13632506,hxe45765ecbd94580481155f9d7ecaf93d885272b2,hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,9.053,1579076405,2020-01-15 08:20:05,Wed
