block_id,delegator,validator,validator_name,votes,created_at,datetime,day
20290074,hx64332877198138803638c5eaa6fa9b73b916af00,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-104.2586,1592527236,2020-06-19 00:40:36,Fri
20285345,hx29148552d953d75d1213f1063575dfe8a656ed4b,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,36.977,1592517691,2020-06-18 22:01:31,Thu
20283044,hx64332877198138803638c5eaa6fa9b73b916af00,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,60.1493,1592513048,2020-06-18 20:44:08,Thu
20280780,hx64332877198138803638c5eaa6fa9b73b916af00,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,29.8902,1592508479,2020-06-18 19:27:59,Thu
20280154,hxa9919a343ba343d0afb75ba59bf63e708736b300,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,333.0226,1592507217,2020-06-18 19:06:57,Thu
20275243,hx64332877198138803638c5eaa6fa9b73b916af00,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,14.2191,1592497305,2020-06-18 16:21:45,Thu
20267708,hx8ae1e0faed05e493c2eec9ace6ad0cd403af4cc0,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-3.6989,1592482095,2020-06-18 12:08:15,Thu
20259414,hx1e89d55e3dfcba4934eda9a4e3505ea34366e844,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-129.4845,1592465353,2020-06-18 07:29:13,Thu
20254970,hx6e0a36493b252832790bcb9517fefc691a9840c3,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,441.9432,1592456383,2020-06-18 04:59:43,Thu
20241731,hx1e89d55e3dfcba4934eda9a4e3505ea34366e844,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-6.4996,1592429670,2020-06-17 21:34:30,Wed
20241667,hx1e89d55e3dfcba4934eda9a4e3505ea34366e844,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,39.3893,1592429541,2020-06-17 21:32:21,Wed
20241556,hx1e89d55e3dfcba4934eda9a4e3505ea34366e844,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,96.5948,1592429317,2020-06-17 21:28:37,Wed
20231802,hx8ae1e0faed05e493c2eec9ace6ad0cd403af4cc0,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,3.6989,1592409637,2020-06-17 16:00:37,Wed
20224867,hxa467e732e609a343a281080d3d3028974c18f81a,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,89.1127,1592395631,2020-06-17 12:07:11,Wed
20208116,hxc5ea88b09f49c5eac1d0bb6e28fcdc75f4961f0f,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,144.1471,1592361700,2020-06-17 02:41:40,Wed
20157711,hx81f933da3f0ef5fe89887e06cb3b2f80aba4010b,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,48.4454,1592259972,2020-06-15 22:26:12,Mon
20157685,hx81f933da3f0ef5fe89887e06cb3b2f80aba4010b,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,6.0426,1592259920,2020-06-15 22:25:20,Mon
20148195,hxa0ed80dba099f947e0aac3bf2c2eccac00d96c3b,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,399.7957,1592240771,2020-06-15 17:06:11,Mon
20089079,hx43a81a4580b04ad52a688f34c3ff388e5d850c2f,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,0.0545,1592121437,2020-06-14 07:57:17,Sun
20024105,hxa9cb101f731a91deac8500f64719cda558b5718b,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,127.5265,1591989960,2020-06-12 19:26:00,Fri
20011812,hxff36a4795f23f0f50628dda8b1e6d64b0c59fc03,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-0.00001774527277254,1591965151,2020-06-12 12:32:31,Fri
19942734,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,1272.2017,1591825700,2020-06-10 21:48:20,Wed
19942679,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-1255.012,1591825589,2020-06-10 21:46:29,Wed
19942328,hxff36a4795f23f0f50628dda8b1e6d64b0c59fc03,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,1194.865086818879255592,1591824881,2020-06-10 21:34:41,Wed
19942291,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,458.5193,1591824806,2020-06-10 21:33:26,Wed
19936805,hx5e953a103f8ad4ea291716c7c66f3737e7fce38c,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,99.5512,1591813740,2020-06-10 18:29:00,Wed
19923909,hx3b22aed6e8cb96c7a5ee3d8369b19751b85b5ad5,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,20,1591787723,2020-06-10 11:15:23,Wed
19894261,hxd0abab5b793ba9d1598757fffcef63bb3cd43114,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,99.18,1591727533,2020-06-09 18:32:13,Tue
19892124,hx34a1dda03c555adf93bdb6c4baf6f1617bfbc5a7,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-183.3176,1591723204,2020-06-09 17:20:04,Tue
19880443,hx9574477ebd16c4ef3fbb9f6c159ba769206fb277,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,489.9893,1591699394,2020-06-09 10:43:14,Tue
19806514,hx34a1dda03c555adf93bdb6c4baf6f1617bfbc5a7,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,183.3176,1591550071,2020-06-07 17:14:31,Sun
19793206,hx43a81a4580b04ad52a688f34c3ff388e5d850c2f,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,0.0548,1591523084,2020-06-07 09:44:44,Sun
19775924,hx39fbc863e6901524ee8d9d4ad52a71689ae14bd3,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,0.972,1591488095,2020-06-07 00:01:35,Sun
19719686,hxc5ea88b09f49c5eac1d0bb6e28fcdc75f4961f0f,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,5,1591374092,2020-06-05 16:21:32,Fri
19694408,hx07a112ea62f7bad9695a943b1bbd57dcb261b1fb,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,8.742984411563163648,1591322925,2020-06-05 02:08:45,Fri
19645131,hxda48f3a7053f3aa3e590ba17716a2d1a95a34c3e,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,59.359,1591223357,2020-06-03 22:29:17,Wed
19627665,hx07a112ea62f7bad9695a943b1bbd57dcb261b1fb,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,25.160001433095897088,1591187907,2020-06-03 12:38:27,Wed
19550135,hx53c38abe38df03116f426ea55d973d77aeb71de6,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-400,1591031152,2020-06-01 17:05:52,Mon
19548471,hx09e3dd1b1056a654e5152becb78da600bff5dc87,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,33.1076,1591027794,2020-06-01 16:09:54,Mon
19521986,hx53c38abe38df03116f426ea55d973d77aeb71de6,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,400,1590974025,2020-06-01 01:13:45,Mon
19502119,hx43a81a4580b04ad52a688f34c3ff388e5d850c2f,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,0.0551,1590933930,2020-05-31 14:05:30,Sun
19493468,hx9d7ea8afed9ffb80618721094f66ac025dde2667,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,-1600,1590916243,2020-05-31 09:10:43,Sun
19453379,hx0a79d5e0d04592241006e41fd2992dacd076592d,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,1,1590835206,2020-05-30 10:40:06,Sat
19385781,hx60472f12f3b949c99fd9df9d3a7748d5afafe7c7,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,146.5407,1590698533,2020-05-28 20:42:13,Thu
19376323,hx43a81a4580b04ad52a688f34c3ff388e5d850c2f,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,0.0017,1590679397,2020-05-28 15:23:17,Thu
19330047,hxf0024d4ebd4698d40d4f22570d2e29baeffe6a91,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,19.5985,1590585873,2020-05-27 13:24:33,Wed
19326740,hxf0024d4ebd4698d40d4f22570d2e29baeffe6a91,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,101.662,1590579201,2020-05-27 11:33:21,Wed
