block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19321692,hx50caaf5ae96e314720fe7cc986f23742688079a3,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,365.3685,1590568948,2020-05-27 08:42:28,Wed
19271523,hxc80f843578020a39efd76c89d4c49efc43526cd3,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,-40,1590467697,2020-05-26 04:34:57,Tue
19271372,hxc80f843578020a39efd76c89d4c49efc43526cd3,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,40,1590467393,2020-05-26 04:29:53,Tue
19259510,hxeb41c2d53f1bcdb03a0dbbda6805f05fb4693992,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,249.9254,1590443456,2020-05-25 21:50:56,Mon
19255630,hxc44c8d588737b016e56f1e0eb03b0d6ddb3f2719,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,-8.98,1590435604,2020-05-25 19:40:04,Mon
19238358,hxdd3e1988cb579476efba6206819f7cd6af43f38d,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,982.1878,1590400649,2020-05-25 09:57:29,Mon
19238249,hxdd3e1988cb579476efba6206819f7cd6af43f38d,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,17.8122,1590400430,2020-05-25 09:53:50,Mon
19236898,hx1a6d8de3e683f34bf024c074fa7990105a683363,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,224.7318,1590397703,2020-05-25 09:08:23,Mon
19213923,hxb03f5e2328d2fca9d77c9fb32c64f23d290e723d,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,4083.0182,1590351343,2020-05-24 20:15:43,Sun
19159943,hxb4585b0c6b94a8f6813067d8d20575bb82359870,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,22.3438,1590242329,2020-05-23 13:58:49,Sat
19159924,hxb4585b0c6b94a8f6813067d8d20575bb82359870,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,1243.4193,1590242291,2020-05-23 13:58:11,Sat
19132048,hxdd9bd324bdc0459bc5f53595f4f7020f293fba3e,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,800,1590186025,2020-05-22 22:20:25,Fri
19074636,hx798a528bcfb9c9e8ccef03bf8c702281ec174e6b,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,4.9531,1590069879,2020-05-21 14:04:39,Thu
19053481,hx49e5d329483dc7ef599f6dc11904344969a18a96,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,0.2696,1590027174,2020-05-21 02:12:54,Thu
18868385,hxc44c8d588737b016e56f1e0eb03b0d6ddb3f2719,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,8.98,1589653513,2020-05-16 18:25:13,Sat
