block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19426626,hx5fba5c4a6c226d982c11af23589cf1f6ae7ecd91,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,132.8029,1590780985,2020-05-29 19:36:25,Fri
19377660,hx810020a0f157bf501b57f1a074e34480f879afca,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,98.93766266542358528,1590682095,2020-05-28 16:08:15,Thu
19368395,hx00a3d4391dff6f87334c7aa8dccc1b83f2e6dac3,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,125,1590663356,2020-05-28 10:55:56,Thu
19305959,hx6ea7552620d7a2ea105fddf86daa90fb1a7a7615,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,505.8516,1590537202,2020-05-26 23:53:22,Tue
19239464,hx261985a3d70173740d2e3eb75af4300832ae6e35,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,121.8602,1590402881,2020-05-25 10:34:41,Mon
19135902,hxf369e5e68344abc526f29def473cbc994217d5b9,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,158.2986,1590193805,2020-05-23 00:30:05,Sat
19118259,hx6dd64528e3abd0fb14ba3c951e391847bc31f493,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,162.9769,1590158179,2020-05-22 14:36:19,Fri
19107610,hx9b412d929c608b4d3b703872e77d6aa7cb267d83,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,24.984,1590136673,2020-05-22 08:37:53,Fri
19105349,hx36fd0965122bc0ee10768f9fde4d33ab1dbcb714,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,20000,1590132105,2020-05-22 07:21:45,Fri
18942957,hx6ea7552620d7a2ea105fddf86daa90fb1a7a7615,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,729.0388,1589804018,2020-05-18 12:13:38,Mon
18813853,hxe0a79fdb320503770d0402628ed138d0b8902c45,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,23.2603,1589543277,2020-05-15 11:47:57,Fri
18627453,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,250.0902,1589167292,2020-05-11 03:21:32,Mon
18555211,hx6ea7552620d7a2ea105fddf86daa90fb1a7a7615,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,759.8944,1589021607,2020-05-09 10:53:27,Sat
18388272,hx0b5a51e7e89b9405a6b4bec286dcfff02cca91e9,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,1999.9975,1588683711,2020-05-05 13:01:51,Tue
18023093,hx6ea7552620d7a2ea105fddf86daa90fb1a7a7615,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,422.1671,1587945255,2020-04-26 23:54:15,Sun
17724859,hx6ea7552620d7a2ea105fddf86daa90fb1a7a7615,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,420.3316,1587341392,2020-04-20 00:09:52,Mon
17584913,hx5c3b77183ef418efbac1ed3cdf812af22c8194b6,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,10,1587058122,2020-04-16 17:28:42,Thu
17407356,hxc10b5c11f8d5f98a999c03c5d6fce7861489a62f,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,106069.4391,1586699463,2020-04-12 13:51:03,Sun
17404928,hx6ea7552620d7a2ea105fddf86daa90fb1a7a7615,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,508.4236,1586694569,2020-04-12 12:29:29,Sun
16960152,hx6ea7552620d7a2ea105fddf86daa90fb1a7a7615,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,615.5257,1585797045,2020-04-02 03:10:45,Thu
16531922,hxd02454036646292205021a2efe518fa6e6701f11,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,84.143,1584929994,2020-03-23 02:19:54,Mon
16516792,hxc0fc118bbd0dec60bf1c8fb9fa7edeb03481200f,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,323.0444,1584899433,2020-03-22 17:50:33,Sun
16490098,hxc0fc118bbd0dec60bf1c8fb9fa7edeb03481200f,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,333099.4489,1584845546,2020-03-22 02:52:26,Sun
16490080,hxd02454036646292205021a2efe518fa6e6701f11,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,167512.572,1584845510,2020-03-22 02:51:50,Sun
16487620,hxc0fc118bbd0dec60bf1c8fb9fa7edeb03481200f,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,-333099.4489,1584840549,2020-03-22 01:29:09,Sun
16487582,hxd02454036646292205021a2efe518fa6e6701f11,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,-167512.572,1584840472,2020-03-22 01:27:52,Sun
16429488,hxd02454036646292205021a2efe518fa6e6701f11,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,167512.572,1584723134,2020-03-20 16:52:14,Fri
16405584,hx6ea7552620d7a2ea105fddf86daa90fb1a7a7615,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,100504.7596,1584674887,2020-03-20 03:28:07,Fri
16404695,hxc0fc118bbd0dec60bf1c8fb9fa7edeb03481200f,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,333099.4489,1584673092,2020-03-20 02:58:12,Fri
