block_id,delegator,validator,validator_name,votes,created_at,datetime,day
20252012,hxef9a5705d573b15ba2d7c0735a5d09d500df414a,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,5.8406,1592450414,2020-06-18 03:20:14,Thu
20115416,hx19efccbb4e4bd870537d313047a19a9c673e9bfa,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,53.645,1592174614,2020-06-14 22:43:34,Sun
20105267,hxef9a5705d573b15ba2d7c0735a5d09d500df414a,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,16.3353,1592154114,2020-06-14 17:01:54,Sun
19973345,hx97c76476a353b7ab176562278bfc1bb38a745531,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-422.088404969998778368,1591887528,2020-06-11 14:58:48,Thu
19953451,hxcffff69f7d0966bdcf4bd45ef8c8c4e50981f339,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-52967.2716,1591847323,2020-06-11 03:48:43,Thu
19850071,hxcffff69f7d0966bdcf4bd45ef8c8c4e50981f339,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,20.6423,1591638048,2020-06-08 17:40:48,Mon
19832676,hxd41eddb07b1264a4a623debd8076f175ffc43d8e,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,69.8667,1591602929,2020-06-08 07:55:29,Mon
19809976,hxcffff69f7d0966bdcf4bd45ef8c8c4e50981f339,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,52946.6293,1591557070,2020-06-07 19:11:10,Sun
19546433,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,1.9377,1591023680,2020-06-01 15:01:20,Mon
19546353,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,1.9381,1591023518,2020-06-01 14:58:38,Mon
19546292,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,7.7553,1591023395,2020-06-01 14:56:35,Mon
19525228,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,1.08,1590980879,2020-06-01 03:07:59,Mon
19524823,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,2.7737,1590980062,2020-06-01 02:54:22,Mon
19516457,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,3.0005,1590962873,2020-05-31 22:07:53,Sun
19438166,hx7927fb21cca1822a1fa9fe71e606acbeaefa439c,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,321.5723,1590804279,2020-05-30 02:04:39,Sat
19397912,hx97c76476a353b7ab176562278bfc1bb38a745531,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,422.088404969998778368,1590723017,2020-05-29 03:30:17,Fri
19260068,hxdf8778168052a092da96d53b5175c9e773411cac,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,10,1590444582,2020-05-25 22:09:42,Mon
18775283,hxa9602c82365690567bc912251a8b3ae259ef3631,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,21.5334,1589465450,2020-05-14 14:10:50,Thu
18258064,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-167.4033,1588420525,2020-05-02 11:55:25,Sat
18235919,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-1692.634,1588375869,2020-05-01 23:31:09,Fri
17610231,hxd41eddb07b1264a4a623debd8076f175ffc43d8e,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,80.4029,1587109431,2020-04-17 07:43:51,Fri
17546633,hx9d7ea8afed9ffb80618721094f66ac025dde2667,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-1900,1586980468,2020-04-15 19:54:28,Wed
16295627,hx41255c6fd4238b7dfc13c03c90e4febdc3db6ec0,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-667.7793,1584452940,2020-03-17 13:49:00,Tue
16094859,hx9d7ea8afed9ffb80618721094f66ac025dde2667,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,1900,1584046987,2020-03-12 21:03:07,Thu
15025740,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,485.5485,1581886612,2020-02-16 20:56:52,Sun
14910578,hxe9abf74ebaf328c4ea23eba6e517ed92079e8fdf,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-3167.5637,1581654341,2020-02-14 04:25:41,Fri
14855246,hx6ba04d622551bc7b1b0801e2c739830b90a12866,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-0.8,1581542836,2020-02-12 21:27:16,Wed
14705213,hxa9602c82365690567bc912251a8b3ae259ef3631,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,65.585,1581240018,2020-02-09 09:20:18,Sun
14577645,hxd41eddb07b1264a4a623debd8076f175ffc43d8e,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,484.2876,1580982524,2020-02-06 09:48:44,Thu
14502873,hxd41eddb07b1264a4a623debd8076f175ffc43d8e,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,725.8527,1580831757,2020-02-04 15:55:57,Tue
14493570,hx252f3b35a4efcc693cddbb6d6dea929854d04621,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-11.1172,1580813001,2020-02-04 10:43:21,Tue
14049786,hxa55446e81997c03ee856a58ee18432325a4ef924,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-107199.5202,1579917900,2020-01-25 02:05:00,Sat
14049735,hx25c5dace83bceae42c11360a07c9e42a3b5c6122,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-77731.2811,1579917797,2020-01-25 02:03:17,Sat
14049415,hxd8ba6317da2eec0d9d7d1feed4c9c1f3cf358ae1,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-389997,1579917152,2020-01-25 01:52:32,Sat
14049347,hx558b4cd8cd7c25fa25e3109414bb385e3c369660,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-235198.5603,1579917014,2020-01-25 01:50:14,Sat
13727468,hxf0fc900cb68fd9952275ccc708012fd5ce78c214,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-289357.5475,1579267822,2020-01-17 13:30:22,Fri
13718277,hx25c5dace83bceae42c11360a07c9e42a3b5c6122,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,11410.801,1579249303,2020-01-17 08:21:43,Fri
13718268,hx25c5dace83bceae42c11360a07c9e42a3b5c6122,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-11410.801,1579249285,2020-01-17 08:21:25,Fri
13718249,hx25c5dace83bceae42c11360a07c9e42a3b5c6122,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-28268.1188,1579249246,2020-01-17 08:20:46,Fri
13685646,hxf0fc900cb68fd9952275ccc708012fd5ce78c214,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,289357.5475,1579183503,2020-01-16 14:05:03,Thu
13637059,hxd41eddb07b1264a4a623debd8076f175ffc43d8e,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,751.6719,1579085576,2020-01-15 10:52:56,Wed
13634211,hxd41eddb07b1264a4a623debd8076f175ffc43d8e,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,29.7,1579079840,2020-01-15 09:17:20,Wed
13388401,hxf863779c7435882a7e968f4b98c48e88e78febeb,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,1116,1578583306,2020-01-09 15:21:46,Thu
12582323,hxeec45d99d71c7957a1cde35340b1d18bdd352819,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-10000,1576958166,2019-12-21 19:56:06,Sat
12136097,hx41255c6fd4238b7dfc13c03c90e4febdc3db6ec0,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,72.4432,1576056579,2019-12-11 09:29:39,Wed
11714511,hxe9365eef3c1296a70bba99921675a70c3f8675a6,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-3431.932,1575198621,2019-12-01 11:10:21,Sun
11692387,hxe9365eef3c1296a70bba99921675a70c3f8675a6,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,3431.932,1575153915,2019-11-30 22:45:15,Sat
11676289,hxeec45d99d71c7957a1cde35340b1d18bdd352819,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,10000,1575121424,2019-11-30 13:43:44,Sat
11433226,hx89d75bf8d10239d291788bc9444e4e6a873c4d36,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-497,1574626414,2019-11-24 20:13:34,Sun
11209681,hx32aebf79f131defd67df3c959179a2d67800af2e,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-71.4222,1574171521,2019-11-19 13:52:01,Tue
11191473,hx32aebf79f131defd67df3c959179a2d67800af2e,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,2.3928,1574134270,2019-11-19 03:31:10,Tue
11016749,hxa55446e81997c03ee856a58ee18432325a4ef924,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,107199.5202,1573693886,2019-11-14 01:11:26,Thu
10977974,hxda69493e9ccf58e5b1f8c708e7507856ef6e5503,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-6122.0469,1573615149,2019-11-13 03:19:09,Wed
10844358,hxe9abf74ebaf328c4ea23eba6e517ed92079e8fdf,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,3167.5637,1573333285,2019-11-09 21:01:25,Sat
10733989,hx5f3cfc811e153050dc283d14be8cb27a24c5c380,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-56.3386,1573107447,2019-11-07 06:17:27,Thu
10715042,hx2370b47d6d33962cb3613e85e41878b62055fb5a,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,1534.4799,1573069025,2019-11-06 19:37:05,Wed
10583248,hxcee43c664f8b09cc067771ff7a076f48d66df697,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,-514.9586,1572801270,2019-11-03 17:14:30,Sun
10582902,hxcee43c664f8b09cc067771ff7a076f48d66df697,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,514.9586,1572800572,2019-11-03 17:02:52,Sun
