validator,validator_name,date,votes
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-10-28,69447.2747
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-10-29,24624700.2351
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-10-30,150388.4471960005
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-10-31,317226.1684000001
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-01,832715.8622000001
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-02,449906.84100631287
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-03,80652.26380000006
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-04,271338.95903370186
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-05,762719.1645119662
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-06,223068.87189999988
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-07,-391162.47860000015
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-08,-52110.962351980634
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-09,159626.9038155947
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-10,304894.8913000001
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-11,-29240.591100000012
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-12,78066.551
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-13,116184.91382556628
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-14,-33173.41832902809
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-15,111747.47140000001
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-16,61262.14670220841
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-17,106019.68380000003
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-18,71116.47210000003
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-19,319902.2881153191
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-20,295241.3325068318
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-21,664774.5449681834
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-22,119141.17786197545
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-23,226623.99618654227
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-24,168593.38739495163
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-25,413396.61748715496
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-26,170180.8998689789
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-27,295284.61161888426
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-28,117101.96445183133
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-29,14093.370845615395
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-11-30,14526.704359056468
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-01,602882.073107337
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-02,108890.62886804696
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-03,31890.79131956679
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-04,23559.21664878093
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-05,5406.27990466283
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-06,6603.294840122219
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-07,-15697.240315998566
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-08,76910.40792617007
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-09,-7923710.595862875
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-10,94935.85449640223
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-11,48705.539540905134
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-12,89561.2737396075
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-13,87879.84510123199
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-14,37505.67771341072
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-15,349732.8238157093
